<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2S,20101124,3.1,3.12,3.1,3.12,80000
2S,20101125,3.14,3.16,3.12,3.16,71300
2S,20101126,3.1,3.14,3.1,3.14,40000
2S,20101129,3.1,3.1,3.1,3.1,100
2S,20101201,3.08,3.22,3.08,3.22,121600
2S,20101202,3.12,3.16,3.1,3.16,31400
2S,20101207,3.2,3.2,3.2,3.2,90000
2S,20101209,3.14,3.18,3.14,3.18,8300
2S,20101215,3.18,3.2,3.14,3.2,38800
2S,20101216,3.16,3.18,3.16,3.18,20000
2S,20101217,3.18,3.18,3.18,3.18,20000
2S,20101220,3.18,3.28,3.16,3.24,290000
2S,20101221,3.26,3.26,3.06,3.2,162400
2S,20101223,3.12,3.14,3.12,3.14,22400
2S,20101224,3.18,3.18,3.18,3.18,1000
2S,20101227,3.16,3.18,3.16,3.18,21100
2S,20101229,3.12,3.12,3.12,3.12,100
2S,20110104,3.12,3.14,3.1,3.12,48000
2S,20110105,3.12,3.14,3.12,3.12,28000
2S,20110106,3.14,3.14,3.14,3.14,100000
2S,20110107,3.1,3.14,3.1,3.14,41000
2S,20110110,3.28,3.28,3.18,3.2,31900
2S,20110111,3.16,3.18,3.16,3.16,29500
2S,20110112,3.18,3.2,3.18,3.2,70000
2S,20110113,3.16,3.16,3.16,3.16,10000
2S,20110114,3.16,3.16,3.16,3.16,17000
2S,20110117,3.2,3.22,3.18,3.18,153000
2S,20110118,3.18,3.2,3.18,3.18,66100
2S,20110120,3.16,3.16,3.16,3.16,20000
2S,20110121,3.2,3.22,3.18,3.2,81300
2S,20110124,3.18,3.18,3.12,3.14,24000
2S,20110125,3.16,3.22,3.16,3.22,11200
2S,20110127,3.22,3.24,3.18,3.18,6000
2S,20110128,3.18,3.18,3.18,3.18,5000
2S,20110201,3.18,3.18,3.16,3.18,717000
2S,20110202,3.34,3.34,3.34,3.34,1600
2S,20110204,3.2,3.2,3.2,3.2,10000
2S,20110207,3.2,3.2,3.2,3.2,5000
2S,20110209,3.18,3.2,3.18,3.2,5800
2S,20110214,3.3,3.3,3.28,3.3,91600
2S,20110215,3.26,3.28,3.26,3.28,270000
2S,20110216,3.28,3.28,3.28,3.28,183100
2S,20110217,3.26,3.26,3.26,3.26,98100
2S,20110221,3.26,3.3,3.26,3.28,38600
2S,20110222,3.3,3.3,3.24,3.26,120000
2S,20110223,3.42,3.42,3.32,3.32,624200
2S,20110224,3.36,3.38,3.3,3.3,85300
2S,20110225,3.3,3.32,3.24,3.3,24700
2S,20110228,3.32,3.32,3.2,3.2,26500
2S,20110301,3.22,3.28,3.22,3.28,7400
2S,20110302,3.28,3.28,3.28,3.28,5900
2S,20110303,3.28,3.28,3.24,3.28,209600
2S,20110304,3.28,3.28,3.24,3.24,157100
2S,20110307,3.28,3.28,3.26,3.28,58500
2S,20110308,3.3,3.3,3.3,3.3,30700
2S,20110309,3.28,3.28,3.28,3.28,41700
2S,20110310,3.28,3.28,3.28,3.28,300
2S,20110311,3.3,3.4,3.3,3.3,44500
2S,20110314,3.32,3.32,3.3,3.32,835600
2S,20110315,3.3,3.3,3.28,3.3,456400
2S,20110316,3.3,3.3,3.26,3.28,82100
2S,20110317,3.28,3.28,3.28,3.28,6600
2S,20110318,3.3,3.3,3.28,3.3,501300
2S,20110321,3.38,3.38,3.3,3.3,503100
2S,20110322,3.32,3.32,3.3,3.3,10100
2S,20110323,3.36,3.36,3.32,3.32,527300
2S,20110324,3.32,3.32,3.32,3.32,33000
2S,20110325,3.3,3.38,3.3,3.38,94000
2S,20110328,3.3,3.38,3.3,3.38,500
2S,20110330,3.32,3.38,3.32,3.38,24400
2S,20110331,3.4,3.4,3.36,3.36,17100
2S,20110401,3.38,3.4,3.32,3.38,128800
2S,20110404,3.34,3.38,3.34,3.36,31200
2S,20110405,3.34,3.34,3.32,3.32,20000
2S,20110407,3.36,3.36,3.34,3.34,12200
2S,20110408,3.34,3.36,3.32,3.32,25900
2S,20110411,3.36,3.36,3.34,3.36,5700
2S,20110412,3.38,3.38,3.36,3.38,36600
2S,20110418,3.4,3.4,3.36,3.38,28400
2S,20110419,3.38,3.44,3.38,3.44,26700
2S,20110420,3.46,3.5,3.4,3.5,116800
2S,20110421,3.54,3.58,3.5,3.54,404500
2S,20110422,3.5,3.52,3.5,3.5,23300
2S,20110425,3.52,3.54,3.44,3.44,87200
2S,20110426,3.5,3.5,3.5,3.5,1028400
2S,20110427,3.5,3.5,3.5,3.5,35600
2S,20110428,3.5,3.5,3.48,3.48,267500
2S,20110429,3.5,3.5,3.48,3.48,77800
2S,20110503,3.48,3.48,3.42,3.48,302000
2S,20110504,2.7,2.8,2.7,2.76,431300
2S,20110506,2.76,2.76,2.74,2.74,40900
2S,20110509,2.76,2.78,2.7,2.74,11400
2S,20110510,2.7,2.72,2.68,2.7,61400
2S,20110511,2.72,2.8,2.68,2.76,877000
2S,20110512,2.76,2.76,2.68,2.7,258700
2S,20110513,2.7,2.7,2.7,2.7,30000
2S,20110518,2.5,2.76,2.5,2.76,83200
2S,20110519,2.72,2.72,2.66,2.72,13200
2S,20110520,2.72,2.72,2.62,2.68,76900
2S,20110523,2.44,2.76,2.44,2.66,10000
2S,20110524,2.66,2.68,2.66,2.68,18700
2S,20110526,2.68,2.72,2.68,2.7,17900
2S,20110527,2.72,2.8,2.68,2.68,53800
2S,20110530,2.7,2.7,2.68,2.68,100300
2S,20110531,2.7,2.72,2.7,2.7,28900
2S,20110601,2.68,2.8,2.68,2.72,760700
2S,20110602,2.74,2.78,2.72,2.72,22900
2S,20110603,2.74,2.74,2.72,2.74,75000
2S,20110606,2.74,2.74,2.72,2.72,62900
2S,20110607,2.72,2.72,2.72,2.72,22800
2S,20110608,2.72,2.72,2.64,2.68,208800
2S,20110609,2.64,2.68,2.64,2.64,385900
2S,20110610,2.7,2.7,2.66,2.66,61500
2S,20110613,2.68,2.7,2.66,2.66,19500
2S,20110614,2.68,2.7,2.68,2.68,16100
2S,20110615,2.68,2.68,2.66,2.66,39800
2S,20110616,2.68,2.68,2.64,2.64,97200
2S,20110617,2.64,2.66,2.64,2.66,10900
2S,20110620,2.62,2.68,2.62,2.68,10400
2S,20110621,2.68,2.68,2.68,2.68,5000
2S,20110622,2.72,2.74,2.68,2.68,16100
2S,20110623,2.68,2.68,2.68,2.68,25900
2S,20110624,2.66,2.7,2.66,2.66,33500
2S,20110628,2.72,2.72,2.66,2.68,33500
2S,20110629,2.68,2.68,2.68,2.68,29900
2S,20110630,2.7,2.7,2.68,2.68,16300
2S,20110704,2.72,2.72,2.68,2.7,8300
2S,20110705,2.7,2.7,2.7,2.7,24100
2S,20110706,2.68,2.72,2.68,2.68,125000
2S,20110707,2.7,2.72,2.7,2.7,121600
2S,20110708,2.7,2.7,2.68,2.68,150200
2S,20110711,2.74,2.74,2.68,2.68,138700
2S,20110712,2.7,2.7,2.68,2.68,41200
2S,20110713,2.7,2.7,2.68,2.68,90100
2S,20110714,2.7,2.7,2.66,2.68,216700
2S,20110718,2.68,2.68,2.68,2.68,101000
2S,20110719,2.68,2.68,2.68,2.68,29000
2S,20110720,2.68,2.68,2.68,2.68,40000
2S,20110721,2.78,2.78,2.7,2.7,1700
2S,20110722,2.7,2.7,2.7,2.7,65500
2S,20110725,2.7,2.7,2.68,2.68,261000
2S,20110726,2.68,2.68,2.68,2.68,5600
2S,20110727,2.68,2.68,2.68,2.68,216000
2S,20110728,2.68,2.68,2.68,2.68,112400
2S,20110729,2.68,2.68,2.68,2.68,117800
2S,20110801,2.68,2.68,2.68,2.68,40000
2S,20110802,2.68,2.68,2.68,2.68,77000
2S,20110803,2.68,2.68,2.68,2.68,80000
2S,20110804,2.72,2.72,2.66,2.66,20200
2S,20110805,2.66,2.66,2.64,2.64,86800
2S,20110808,2.64,2.64,2.64,2.64,58400
2S,20110809,2.64,2.64,2.64,2.64,19700
2S,20110810,2.66,2.66,2.6,2.6,165000
2S,20110811,2.6,2.62,2.6,2.6,146100
2S,20110816,2.74,2.74,2.62,2.62,18300
2S,20110817,2.64,2.64,2.62,2.62,16800
2S,20110819,2.6,2.6,2.6,2.6,107500
2S,20110822,2.6,2.62,2.6,2.6,120300
2S,20110823,2.6,2.6,2.6,2.6,102500
2S,20110824,2.6,2.6,2.6,2.6,162500
2S,20110825,2.6,2.6,2.56,2.56,121500
2S,20110826,2.56,2.56,2.56,2.56,800
2S,20110829,2.58,2.58,2.56,2.58,128000
2S,20110830,2.6,2.6,2.6,2.6,10000
2S,20110831,2.62,2.62,2.62,2.62,60100
2S,20110905,2.58,2.58,2.58,2.58,6000
2S,20110906,2.58,2.58,2.56,2.58,15000
2S,20110909,2.56,2.56,2.56,2.56,3000
2S,20110912,2.56,2.56,2.56,2.56,3700
2S,20110913,2.56,2.56,2.52,2.52,100300
2S,20110914,2.52,2.58,2.52,2.58,53500
2S,20110915,2.54,2.56,2.54,2.56,132000
2S,20110920,2.56,2.56,2.56,2.56,40000
2S,20110922,2.6,2.6,2.46,2.6,145100
2S,20110923,2.5,2.6,2.44,2.6,78100
2S,20110926,2.4,2.4,2.38,2.38,15000
2S,20110927,2.4,2.42,2.3,2.4,70900
2S,20110928,2.34,2.34,2.34,2.34,10000
2S,20110929,2.36,2.36,2.34,2.34,29000
2S,20110930,2.34,2.34,2.34,2.34,10000
2S,20111007,2.22,2.3,2.22,2.3,10000
2S,20111012,2.18,2.22,2.18,2.22,4800
2S,20111013,2.4,2.6,2.4,2.6,8400
2S,20111027,2.24,2.58,2.24,2.56,510100
2S,20111031,2.58,2.58,2.52,2.54,402200
2S,20111101,2.58,2.58,2.58,2.58,10100
2S,20111104,2.58,2.58,2.58,2.58,10000
2S,20111108,2.58,2.58,2.58,2.58,15000
2S,20111111,2.52,2.52,2.28,2.28,800
2S,20111116,2.58,2.58,2.46,2.46,2500
2S,20111117,2.54,2.56,2.4,2.54,42100
2S,20111118,2.42,2.42,2.42,2.42,400
2S,20111122,2.54,2.54,2.54,2.54,200
2S,20111123,2.54,2.54,2.46,2.46,3900
2S,20111124,2.48,2.48,2.46,2.46,107500
2S,20111125,2.48,2.5,2.48,2.5,11000
2S,20111128,2.5,2.5,2.5,2.5,5200
2S,20111129,2.16,2.48,2.16,2.48,400
2S,20111201,2.5,2.5,2.38,2.4,500
2S,20111202,2.38,2.5,2.34,2.44,39200
2S,20111206,2.42,2.5,2.3,2.5,5400
2S,20111207,2.5,2.52,2.36,2.44,16400
2S,20111208,2.44,2.46,2.42,2.42,10700
2S,20111209,2.46,2.46,2.44,2.44,900
2S,20111213,2.44,2.5,2.44,2.5,4200
2S,20111214,2.52,2.52,2.38,2.38,200
2S,20111215,2.46,2.46,2.46,2.46,100
2S,20111216,2.02,2.02,2.02,2.02,100
2S,20111227,2.32,2.32,2.3,2.3,45000
2S,20120105,2.44,2.52,2.32,2.5,2100
2S,20120109,2.5,2.5,2.34,2.34,2100
2S,20120111,2.44,2.48,2.4,2.4,12700
2S,20120112,2.52,2.52,2.32,2.34,3100
2S,20120119,2.34,2.58,2.34,2.48,23300
2S,20120120,2.4,2.4,2.4,2.4,100
2S,20120124,2.5,2.5,2.5,2.5,100
2S,20120125,2.5,2.52,2.42,2.42,15100
2S,20120126,2.5,2.5,2.5,2.5,10000
2S,20120127,2.5,2.5,2.5,2.5,31400
2S,20120130,2.58,2.58,2.4,2.5,40700
2S,20120131,2.4,2.48,2.4,2.48,10100
2S,20120201,2.5,2.5,2.4,2.48,30400
2S,20120202,2.5,2.5,2.4,2.46,25800
2S,20120203,2.46,2.5,2.46,2.48,22500
2S,20120206,2.58,2.58,2.38,2.38,600
2S,20120209,2.5,2.5,2.5,2.5,10000
2S,20120210,2.5,2.58,2.42,2.52,50600
2S,20120213,2.5,2.52,2.48,2.48,40300
2S,20120214,2.48,2.48,2.44,2.48,20200
2S,20120215,2.38,2.52,2.32,2.44,3200
2S,20120216,2.6,2.6,2.38,2.5,20300
2S,20120217,2.46,2.5,2.46,2.48,39800
2S,20120220,2.5,2.5,2.48,2.48,60300
2S,20120221,2.5,2.52,2.5,2.52,48600
2S,20120222,2.6,2.6,2.42,2.5,20300
2S,20120223,2.5,2.6,2.48,2.48,20300
2S,20120224,2.5,2.5,2.42,2.5,35300
2S,20120227,2.6,2.6,2.4,2.5,40900
2S,20120228,2.5,2.5,2.48,2.48,70300
2S,20120229,2.5,2.52,2.5,2.5,10600
2S,20120301,2.5,2.5,2.5,2.5,127000
2S,20120302,2.5,2.56,2.5,2.56,2000
2S,20120305,2.56,2.56,2.56,2.56,700
2S,20120306,2.5,2.5,2.5,2.5,400
2S,20120309,2.5,2.54,2.5,2.54,10100
2S,20120312,2.56,2.56,2.56,2.56,100
2S,20120313,2.48,2.48,2.48,2.48,100
2S,20120314,2.54,2.54,2.54,2.54,100
2S,20120319,2.56,2.56,2.56,2.56,400
2S,20120320,2.56,2.66,2.52,2.52,265100
2S,20120403,2.54,2.54,2.54,2.54,10000
2S,20120404,2.54,2.54,2.54,2.54,3600
2S,20120412,2.56,2.56,2.56,2.56,5000
2S,20120419,2.48,2.48,2.44,2.44,5300
2S,20120424,2.44,2.5,2.44,2.5,349600
2S,20120425,2.5,2.5,2.46,2.5,245000
2S,20120427,2.46,2.46,2.46,2.46,2800
2S,20120502,2.5,2.52,2.5,2.52,19500
2S,20120503,2.54,2.54,2.48,2.48,7200
2S,20120504,2.48,2.54,2.48,2.52,39900
2S,20120508,2.4,2.42,2.4,2.42,12000
2S,20120509,2.48,2.5,2.44,2.44,117100
2S,20120511,2.44,2.44,2.42,2.42,1000
2S,20120514,2.34,2.34,2.34,2.34,100
2S,20120516,2.5,2.5,2.5,2.5,100
2S,20120523,2.42,2.42,2.38,2.38,12200
2S,20120525,2.3,2.4,2.3,2.36,12100
2S,20120529,2.36,2.36,2.34,2.34,20000
2S,20120531,2.3,2.3,2.3,2.3,15500
2S,20120601,2.38,2.38,2.32,2.34,29900
2S,20120605,2.32,2.32,2.32,2.32,13000
2S,20120613,2.34,2.34,2.34,2.34,1000
2S,20120618,2.32,2.32,2.32,2.32,1100
2S,20120621,2.36,2.36,2.36,2.36,13000
2S,20120622,2.36,2.36,2.36,2.36,2500
2S,20120626,2.44,2.44,2.44,2.44,100
2S,20120629,2.32,2.32,2.32,2.32,1000
2S,20120703,2.34,2.34,2.34,2.34,500
2S,20120704,2.34,2.34,2.34,2.34,3500
2S,20120705,2.34,2.34,2.34,2.34,100
2S,20120710,2.36,2.36,2.36,2.36,3000
2S,20120716,2.34,2.34,2.32,2.32,10300
2S,20120718,2.34,2.34,2.34,2.34,200
2S,20120719,2.34,2.34,2.32,2.32,4300
2S,20120723,2.54,2.54,2.54,2.54,100
2S,20120724,2.5,2.5,2.34,2.38,54000
2S,20120726,2.46,2.48,2.32,2.34,9900
2S,20120730,2.32,2.32,2.32,2.32,2900
2S,20120801,2.38,2.38,2.38,2.38,100
2S,20120803,2.38,2.38,2.3,2.34,37700
2S,20120807,2.38,2.38,2.38,2.38,1000
2S,20120810,2.32,2.32,2.3,2.3,6200
2S,20120814,2.3,2.3,2.3,2.3,500
2S,20120816,2.32,2.32,2.3,2.3,25300
2S,20120817,2.32,2.32,2.3,2.3,10500
2S,20120821,2.3,2.32,2.3,2.32,200
2S,20120822,2.46,2.46,2.3,2.3,31100
2S,20120830,2.3,2.3,2.3,2.3,500
2S,20120904,2.28,2.34,2.28,2.34,2200
2S,20120905,2.32,2.32,2.32,2.32,1900
2S,20120906,2.4,2.4,2.4,2.4,500
2S,20120912,2.34,2.46,2.34,2.46,300
2S,20120914,2.34,2.34,2.34,2.34,700
2S,20121002,2.46,2.46,2.46,2.46,70000
2S,20121003,2.4,2.4,2.4,2.4,700
